Loyalty#,Cust_ID,Income,Order Year,Quarter,MonthsAsMember,LoyaltyStatus,Product Line,Quantity Sold,Unit Sale Price,Unit Cost,Revenue,Customer Lifetime Value,Loyalty Count
837810,1,42142,2016,Q3,33,Bronze,Computers and Home Office,3,"1,182","1,005","3,546",8842.65,1
707928,2,20978,2016,Q3,52,Bronze,Computers and Home Office,1,434,369,434,3508.57,1
901442,3,71391,2016,Q3,47,Bronze,Computers and Home Office,2,201,171,402,8044.87,1
237303,4,79674,2016,Q3,55,Bronze,Computers and Home Office,3,757,643,"2,271",8660.84,1
348835,5,13663,2016,Q3,58,Bronze,Computers and Home Office,2,161,137,322,25464.82,1
186842,6,69906,2016,Q3,34,Bronze,Computers and Home Office,2,899,764,"1,798",23444.9,1
605640,7,60642,2016,Q3,50,Elite,Computers and Home Office,5,686,583,"3,430",10660.9,1
723924,8,0,2016,Q3,65,Bronze,Computers and Home Office,5,"1,256","1,068","6,280",14585.38,1
202299,9,25676,2016,Q3,54,Elite,Computers and Home Office,1,"1,154",981,"1,154",4373.36,1
826271,10,0,2016,Q3,53,Bronze,Computers and Home Office,1,555,472,555,3567.5,1
616030,11,22886,2016,Q3,58,Bronze,Computers and Home Office,3,"1,187","1,009","3,561",5096.67,1
747903,12,0,2016,Q3,53,Bronze,Computers and Home Office,9,"1,032",877,"9,288",6409.63,1
870394,13,21440,2016,Q3,44,Bronze,Computers and Home Office,1,"1,429","1,215","1,429",5391.08,1
706996,14,0,2016,Q3,66,Elite,Computers and Home Office,1,387,329,387,2241.46,1
940243,15,80892,2016,Q3,31,Bronze,Computers and Home Office,1,"1,475","1,254","1,475",4425.91,1
508402,16,44216,2016,Q3,55,Elite,Computers and Home Office,2,299,254,598,8434.46,1
574568,17,61650,2016,Q3,55,Bronze,Computers and Home Office,2,356,303,712,10506.94,1
960508,18,0,2016,Q3,37,Bronze,Computers and Home Office,7,"1,143",972,"8,001",5325.72,1
105151,19,0,2016,Q3,56,Bronze,Computers and Home Office,6,"1,092",928,"6,552",8556.42,1
451838,20,60426,2016,Q3,41,Bronze,Computers and Home Office,2,"1,210","1,029","2,420",22185.88,1
431773,21,20263,2016,Q3,59,Bronze,Computers and Home Office,7,"1,247","1,060","8,729",4200.82,1
175104,22,25927,2016,Q3,53,Bronze,Computers and Home Office,1,541,460,541,3933.81,1
580979,23,28519,2016,Q3,61,Bronze,Computers and Home Office,1,195,166,195,2606.21,1
214461,24,21142,2016,Q3,68,Bronze,Computers and Home Office,4,404,343,"1,616",5620.59,1
998171,25,0,2016,Q3,52,Bronze,Computers and Home Office,1,870,740,870,2444.62,1
917578,26,33746,2016,Q3,69,Elite,Computers and Home Office,1,609,518,609,2896.92,1
530429,27,0,2016,Q3,49,Silver,Computers and Home Office,1,644,547,644,3567.5,1
626217,28,38702,2016,Q3,50,Bronze,Computers and Home Office,3,"1,479","1,257","4,437",8024.99,1
614645,29,0,2016,Q3,54,Bronze,Computers and Home Office,4,804,683,"3,216",7121.08,1
458038,30,29462,2016,Q3,35,Bronze,Computers and Home Office,1,"1,042",886,"1,042",4170.69,1
832363,31,71333,2016,Q3,32,Bronze,Computers and Home Office,1,488,415,488,3721.06,1
862647,32,52389,2016,Q3,34,Bronze,Computers and Home Office,9,142,121,"1,278",5659.14,1
631714,33,18495,2016,Q3,37,Gold,Computers and Home Office,2,122,104,244,26197.41,1
395512,34,38692,2016,Q3,46,Bronze,Computers and Home Office,1,264,224,264,4091.93,1
936930,35,28466,2016,Q3,55,Silver,Computers and Home Office,1,273,232,273,4067,1
844540,36,51335,2016,Q3,29,Bronze,Computers and Home Office,9,903,768,"8,127",5745.96,1
322540,37,0,2016,Q3,60,Bronze,Computers and Home Office,1,707,601,707,6021.84,1
211198,38,55350,2016,Q3,37,Bronze,Computers and Home Office,9,"1,403","1,193","12,627",5380.9,1
250089,39,67241,2016,Q3,53,Bronze,Computers and Home Office,9,"1,478","1,256","13,302",5405.52,1
920637,40,54603,2016,Q3,67,Bronze,Computers and Home Office,1,241,205,241,3384.47,1
659599,41,0,2016,Q3,28,Bronze,Computers and Home Office,5,644,547,"3,220",6846.15,1
185502,42,93102,2016,Q3,54,Gold,Computers and Home Office,1,"1,365","1,160","1,365",2750.88,1
800977,43,0,2016,Q3,31,Silver,Computers and Home Office,1,334,284,334,2659.71,1
192098,44,26334,2016,Q3,32,Bronze,Computers and Home Office,2,538,457,"1,076",17086.75,1
829934,45,29593,2016,Q3,61,Bronze,Computers and Home Office,2,145,123,290,16159.54,1
509494,46,79041,2016,Q3,43,Bronze,Computers and Home Office,3,325,276,975,16138.42,1
490249,47,51159,2016,Q3,39,Gold,Computers and Home Office,1,"1,040",884,"1,040",2860.11,1
529995,48,43499,2016,Q3,62,Bronze,Computers and Home Office,1,"1,034",879,"1,034",3141.25,1
182124,49,0,2016,Q3,44,Bronze,Computers and Home Office,1,"1,021",868,"1,021",5232.33,1
